country_region,confirmed,deaths
Japan,12435,104
Japan,26814,209
Japan,382286,3168
Japan,4868,52
Kenya,255544,5337
Kyrgyzstan,183712,2762
Laos,82082,214
Lebanon,681332,8795
Lesotho,21838,663
Libya,375869,5514
Liechtenstein,5053,64
Malawi,62015,2307
Malaysia,162299,2109
Malaysia,160259,1190
Malaysia,72561,943
Malaysia,88843,725
Malaysia,763071,9833
Malaysia,204996,2628
Mali,18112,619
Mauritania,39621,844
Mexico,37416,2955
Mexico,57225,2398
Mexico,24216,2096
Mexico,23535,2286
Mexico,77120,6267
Mexico,379714,44433
Mexico,50510,4937
Mexico,125889,15577
Mexico,99307,5615
Mexico,74748,8859
Mexico,42174,3418
Moldova,367339,9270
Mozambique,152120,1941
Namibia,130051,3574
Netherlands,17502,180
Netherlands,84205,527
Netherlands,429555,3400
Netherlands,181574,1269
Netherlands,4613,75
Netherlands,218378,1373
New Zealand,12516,44
Niger,7099,265
Nigeria,214896,2980
Norway,294754,1096
Oman,304631,4113
Pakistan,33514,362
Pakistan,180471,5868
Pakistan,443610,13044
Pakistan,477119,7630
Panama,479231,7375
Papua New Guinea,35662,573
Paraguay,463479,16484
Peru,26593,1520
Peru,102723,10049
Peru,36127,2696
Peru,60365,8564
Peru,88103,7060
Peru,14003,772
Peru,16116,1044
Peru,19389,1583
Peru,32221,3056
Peru,3218,71
Portugal,1172420,18572
Romania,1788260,57260
Russia,107688,5945
Russia,24568,475
Russia,110906,3790
Russia,91200,2433
Russia,71161,2232
Russia,29157,860
Russia,131335,5347
Russia,43983,3439
Russia,63464,2209
Russia,39668,1251
Russia,33598,702
Russia,60610,1075
Russia,30625,883
Russia,113749,1091
Russia,50874,1692
Russia,73399,697
Russia,45909,1007
Russia,157819,7727
Russia,46433,908
Russia,78401,1853
Russia,13021,320
Russia,27157,827
Russia,37728,926
Russia,603456,10827
Russia,61149,660
Russia,85496,3907
Russia,118613,2911
Russia,65276,1337
Russia,103128,3237
Russia,94344,4346
Russia,145613,7008
Russia,67304,1123
Russia,72228,1707
Russia,124107,4751
Russia,79927,2194
Russia,184103,8661
Russia,39657,1307
Russia,76292,3108
Russia,113775,3473
Russia,79341,1598
Russia,89937,1684
Rwanda,100449,1343
Saint Vincent and the Grenadines,5645,76
San Marino,6308,94
Saudi Arabia,549997,8847
Slovakia,1244362,15004
Somalia,23051,1331
South Africa,3051222,90002
Spain,174138,3971
Spain,542566,7917
Spain,246801,6540
Spain,7789,130
Spain,105668,1999
Spain,199745,2680
Spain,921523,16303
Spain,149649,1770
Sri Lanka,569171,14505
Sweden,29641,359
Sweden,4769,54
Sweden,13574,129
Sweden,27107,255
Sweden,36608,356
Sweden,28746,485
Sweden,292660,4535
Sweden,44905,551
Sweden,22786,228
Sweden,27287,202
Sweden,28778,488
Sweden,33812,375
Syria,48801,2788
Taiwan*,16683,848
Tajikistan,17493,125
Tanzania,26270,730
Timor-Leste,19829,122
Togo,26326,243
US,10566,157
US,38236,590
US,10803,193
US,1528,45
US,3446,101
US,22652,520
US,3212,64
US,7101,171
US,2531,69
US,2554,60
US,9447,192
US,9396,210
US,1862,48
US,2622,78
US,9052,192
US,5307,210
US,13099,271
US,15967,295
US,3327,85
US,4658,137
US,3202,89
US,17806,426
US,10237,196
US,116504,2004
US,4857,130
US,2466,67
US,5451,132
US,18878,318
US,7119,65
US,14275,302
US,7291,202
US,12202,380
US,61851,401
US,26000,393
US,8680,139
US,3456,105
US,817303,12999
US,25200,694
US,10042,198
US,3549,61
US,3245,51
US,2036,41
US,4450,78
US,3402,63
US,2848,77
US,4057,95
US,3424,75
US,3063,68
US,2830,56
US,1933,69
US,16238,405
US,10547,128
US,3063,44
US,2759,55
US,12511,231
US,2214,53
US,3729,58
US,3750,52
US,6712,151
US,8788,152
US,1255,41
US,3017,112
US,3508,64
US,19110,247
US,23427,398
US,4134,61
US,4908,70
US,1966,46
US,6051,144
US,2343,44
US,46100,502
US,14075,207
US,126224,1514
US,5832,67
US,4499,88
US,18544,168
US,158187,2284
US,4603,36
US,10360,119
US,2594,46
US,159023,1841
US,35547,369
US,8012,59
US,26511,315
US,18728,249
US,52973,626
US,13501,107
US,42736,473
US,169916,2462
US,7939,80
US,378408,5998
US,410451,4351
US,57458,674
US,31803,360
US,47846,555
US,22540,224
US,48014,360
US,86979,1102
US,21792,263
US,86118,951
US,91030,929
US,35303,284
US,1150,42
US,4647,105
US,10206,143
US,8964,75
US,74512,1010
US,5138,93
US,2196,48
US,3997,48
US,4064,118
US,3255,106
US,30071,604
US,53998,547
US,112969,2288
US,30862,510
US,29058,474
US,38414,660
US,40476,285
US,6029,62
US,82584,914
US,364555,3079
US,3017,45
US,20841,463
US,59022,551
US,14737,114
US,6123,45
US,8044,87
US,28899,482
US,247153,1832
US,3899,49
US,10244,158
US,128922,1009
US,66503,689
US,57632,996
US,20664,335
US,35078,367
US,7473,89
US,138159,1671
US,57800,844
US,41711,221
US,14918,284
US,4624,48
US,3082,74
US,12979,89
US,4595,52
US,3540,107
US,2650,64
US,6772,199
US,26116,662
US,3142,90
US,11282,222
US,3778,86
US,4789,123
US,8073,97
US,16721,356
US,2276,56
US,39267,720
US,4699,108
US,1499,36
US,3188,116
US,4777,77
US,93977,1384
US,4805,110
US,12561,427
US,22816,307
US,1884,58
US,8997,175
US,4470,142
US,13611,246
US,135562,1844
US,15501,342
US,137119,1533
US,39334,677
US,3854,130
US,3870,96
US,2188,59
US,2713,91
US,3486,99
US,9236,254
US,21562,322
US,4919,110
US,5058,80
US,987,40
US,3036,120
US,1530,44
US,3315,49
US,7755,148
US,5889,82
US,41288,1120
US,4208,115
US,5716,122
US,8649,164
US,1535,66
US,3300,87
US,2663,76
US,1023,43
US,35776,739
US,11768,249
US,10642,328
US,4327,138
US,3858,115
US,2283,74
US,7772,183
US,5496,176
US,1812,84
US,1109,62
US,3623,130
US,7420,251
US,5849,176
US,4918,132
US,1300,62
US,19287,267
US,59955,767
US,10484,102
US,86226,844
US,7245,129
US,6565,134
US,4399,51
US,4509,51
US,4411,55
